market_id,question,category,token_id,closedTime,t,price,timestamp,days_to_close,final_price,outcome,price_ma3,price_ma7,price_ma14,price_std7,price_std14,price_diff1,price_diff6,price_diff12,price_diff24,price_diff1_norm,price_diff6_norm,price_diff24_norm,dist_from_half,drift_from_start,price_min,price_max,price_relative,price_vs_ma,price_zscore14,time_bucket,price_x_near,price_x_far,future_price,price_return,target,month,prob,side,price_return_signed,price_return_capped,kelly,position_usdc,pnl_usdc,cumulative_pnl_usdc,capital,drawdown_usdc
240379,[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,US-current-affairs,10715043962341292242163832255523703116280692082153281340642602592290195499485,2024-07-18 00:10:37.491895+00:00,1719570003,0.0785,2024-06-28 10:20:03+00:00,19.576788100636573,0.0025,0,0.0785,0.07178571428571427,0.05164285714285714,0.017764330231436122,0.024136971777615653,0.0,0.047,0.047,0.047,0.0,2.645751162128065,2.645751162128065,0.4215,-0.08650000000000001,0.0015,0.535,0.14432989663668247,1.093532323075172,1.112697234429077,mid,0.0,0.0,0.027,-0.051500000000000004,0,2024-06,0.23557447,short,0.051500000000000004,0.051500000000000004,0.05,50.0,1.575,1373.4499999999928,2373.4499999999925,-24.350000000007185
240383,[Single Market] Will Kamala Harris win the U.S. 2024 Democratic presidential nomination?,US-current-affairs,55587534433102763859032443585846918727132208718352714378810158969375734322181,2024-08-07 13:51:50.562992+00:00,1719570003,0.085,2024-06-28 10:20:03+00:00,40.14707827537037,0.9995,1,0.08000000000000003,0.06571428571428571,0.05535714285714286,0.017423301310927616,0.015988491740367997,-0.0049999999999999906,0.04000000000000001,0.04000000000000001,0.04000000000000001,-0.2869720051212146,2.295776040969722,2.295776040969722,0.415,0.020000000000000004,0.045,0.9995,0.041906757420736775,1.293478241186201,1.854011983757193,mid,0.0,0.0,0.065,-0.020000000000000004,0,2024-06,0.8935393,long,-0.020000000000000004,-0.020000000000000004,0.05,50.0,-2.0000000000000004,1371.4499999999928,2371.4499999999925,-26.350000000007185
246667,[Single Market] Will Gavin Newsom win the U.S. 2024 Democratic presidential nomination?,US-current-affairs,7485789793420109554433747368362501384889372782243986779008355377936022316153,2024-08-07 13:51:50.562992+00:00,1719576003,0.165,2024-06-28 12:00:03+00:00,40.077633830925926,0.0005,0,0.15166666666666667,0.1202142857142857,0.08860714285714287,0.040049820164865704,0.04261643713739803,-0.0050000000000000044,0.10800000000000001,0.10800000000000001,0.10800000000000001,-0.12484450253641402,2.696641254786541,2.696641254786541,0.33499999999999996,0.04500000000000001,0.0005,0.5,0.32932932867001136,1.3725490081903233,1.7925678560127865,mid,0.0,0.0,0.095,-0.07,0,2024-06,0.24401829,short,0.07,0.07,0.05,50.0,2.5,1373.9499999999928,2373.9499999999925,-23.850000000007185
240379,[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,US-current-affairs,10715043962341292242163832255523703116280692082153281340642602592290195499485,2024-07-18 00:10:37.491895+00:00,1719576003,0.0785,2024-06-28 12:00:03+00:00,19.50734365619213,0.0025,0,0.0785,0.0785,0.055,0.0,0.024387102518150378,0.0,0.0,0.047,0.047,0.0,0.0,5.0,0.4215,-0.08650000000000001,0.0015,0.535,0.14432989663668247,0.9999999872611467,0.9636240721457495,mid,0.0,0.0,0.027,-0.051500000000000004,0,2024-06,0.24201797,short,0.051500000000000004,0.051500000000000004,0.05,50.0,1.575,1375.5249999999928,2375.524999999993,-22.275000000006912
240383,[Single Market] Will Kamala Harris win the U.S. 2024 Democratic presidential nomination?,US-current-affairs,55587534433102763859032443585846918727132208718352714378810158969375734322181,2024-08-07 13:51:50.562992+00:00,1719576003,0.085,2024-06-28 12:00:03+00:00,40.077633830925926,0.9995,1,0.08666666666666671,0.07142857142857142,0.05821428571428571,0.015998511835552863,0.01749803756657493,0.0,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.0,2.500232391045097,2.500232391045097,0.415,0.020000000000000004,0.045,0.9995,0.041906757420736775,1.1899999833400003,1.5307838180720925,mid,0.0,0.0,0.065,-0.020000000000000004,0,2024-06,0.87476987,long,-0.020000000000000004,-0.020000000000000004,0.05,50.0,-2.0000000000000004,1373.5249999999928,2373.524999999993,-24.275000000006912
240383,[Single Market] Will Kamala Harris win the U.S. 2024 Democratic presidential nomination?,US-current-affairs,55587534433102763859032443585846918727132208718352714378810158969375734322181,2024-08-07 13:51:50.562992+00:00,1719582003,0.085,2024-06-28 13:40:03+00:00,40.00818938648148,0.9995,1,0.085,0.07714285714285715,0.06107142857142857,0.011495340671019795,0.018415980876627283,0.0,0.020000000000000004,0.04000000000000001,0.04000000000000001,0.0,1.7398351934523866,3.479670386904773,0.415,0.020000000000000004,0.045,0.9995,0.041906757420736775,1.1018518375685873,1.2993372598254171,mid,0.0,0.0,0.11,0.024999999999999994,1,2024-06,0.87557673,long,0.024999999999999994,0.024999999999999994,0.05,50.0,0.2499999999999997,1373.7749999999928,2373.774999999993,-24.025000000006912
240379,[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,US-current-affairs,10715043962341292242163832255523703116280692082153281340642602592290195499485,2024-07-18 00:10:37.491895+00:00,1719582003,0.0785,2024-06-28 13:40:03+00:00,19.437899211747684,0.0025,0,0.0785,0.0785,0.05835714285714285,0.0,0.024136971777615625,0.0,0.0,0.047,0.047,0.0,0.0,5.0,0.4215,-0.08650000000000001,0.0015,0.535,0.14432989663668247,0.9999999872611467,0.8345229258218091,mid,0.0,0.0,0.0185,-0.06,0,2024-06,0.24201797,short,0.06,0.06,0.05,50.0,1.9999999999999998,1375.7749999999928,2375.774999999993,-22.025000000006912
240383,[Single Market] Will Kamala Harris win the U.S. 2024 Democratic presidential nomination?,US-current-affairs,55587534433102763859032443585846918727132208718352714378810158969375734322181,2024-08-07 13:51:50.562992+00:00,1719588002,0.085,2024-06-28 15:20:02+00:00,39.93875651611111,0.9995,1,0.085,0.08,0.06392857142857143,0.010408329997328023,0.018829045834372983,0.0,0.020000000000000004,0.04000000000000001,0.04000000000000001,0.0,1.9215376610461667,3.8430753220923335,0.415,0.020000000000000004,0.045,0.9995,0.041906757420736775,1.0624999867187501,1.1190916224692828,mid,0.0,0.0,0.11,0.024999999999999994,1,2024-06,0.86993587,long,0.024999999999999994,0.024999999999999994,0.05,50.0,0.2499999999999997,1376.0249999999928,2376.024999999993,-21.775000000006912
246667,[Single Market] Will Gavin Newsom win the U.S. 2024 Democratic presidential nomination?,US-current-affairs,7485789793420109554433747368362501384889372782243986779008355377936022316153,2024-08-07 13:51:50.562992+00:00,1719588002,0.1395,2024-06-28 15:20:02+00:00,39.93875651611111,0.0005,0,0.1431666666666667,0.13707142857142857,0.09935714285714285,0.02269439830190926,0.04288510077091973,0.014500000000000013,0.029500000000000012,0.08250000000000002,0.08250000000000002,0.6389241595295339,1.299880186629051,3.6352581490473455,0.3605,0.019500000000000017,0.0005,0.5,0.27827827772116465,1.017717553805083,0.936056007451938,mid,0.0,0.0,0.08,-0.05950000000000001,0,2024-06,0.24869265,short,0.05950000000000001,0.05950000000000001,0.05,50.0,1.9750000000000003,1377.9999999999927,2377.9999999999927,-19.800000000007003
240379,[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,US-current-affairs,10715043962341292242163832255523703116280692082153281340642602592290195499485,2024-07-18 00:10:37.491895+00:00,1719588002,0.0785,2024-06-28 15:20:02+00:00,19.368466341377314,0.0025,0,0.0785,0.0785,0.061714285714285715,0.0,0.023370522430645933,0.0,0.0,0.047,0.047,0.0,0.0,5.0,0.4215,-0.08650000000000001,0.0015,0.535,0.14432989663668247,0.9999999872611467,0.7182429754099157,mid,0.0,0.0,0.0185,-0.06,0,2024-06,0.24201797,short,0.06,0.06,0.05,50.0,1.9999999999999998,1379.9999999999927,2379.9999999999927,-17.800000000007003
240379,[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,US-current-affairs,10715043962341292242163832255523703116280692082153281340642602592290195499485,2024-07-18 00:10:37.491895+00:00,1719594003,0.0785,2024-06-28 17:00:03+00:00,19.299010322858795,0.0025,0,0.0785,0.0785,0.06507142857142857,0.0,0.022033939854109407,0.0,0.0,0.047,0.047,0.0,0.0,5.0,0.4215,-0.08650000000000001,0.0015,0.535,0.14432989663668247,0.9999999872611467,0.6094493725604675,mid,0.0,0.0,0.0185,-0.06,0,2024-06,0.23559254,short,0.06,0.06,0.05,50.0,1.9999999999999998,1381.9999999999927,2381.9999999999927,-15.800000000007003
